회계 연도,매입 마감 (월),발주처,비용배분,S&I 센터,작업유형,장소,건물동,계약명, PO금액,PO번호,PR번호,PR금액,부서,전체 세대수,동별 기본 금액,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,09월30일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),사택 6동,사택 6-402 베란다 타일 교체 공사,1290000,4506626701-10,85083042-20,1400000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,09월30일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),기숙사 3동,3동 기숙사 외부 바닥 대리석 보수 공사,1859750,4506632349-10,85083259-30,2000000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,09월30일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 6동,사택 6-403 수장 공사,2397250,4506633316-10,85117827-10,3200000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,09월30일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),사택 6동,사택 6-403 베란다 타일 교체공사,1290000,4506633318-10,85117827-20,1400000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,09월30일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 8동,사택 8-206 수장 공사,2397250,4506633315-10,85117672-20,3200000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,09월30일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 9동,사택 9-505 수장 공사,2397250,4506633314-10,85117672-10,3200000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,09월30일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),기타,사택 8-206 및 9-505 방충망 수리,107500,4506633317-10,85117827-40,120000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,09월30일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),사택 2동,사택 2-408 장판 및 문틀 도장공사,806250,4506641549-10,85139141-10,1300000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,09월30일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),기타,"사택 5-106,9-404 타일 교체공사",666500,4506643752-10,85139141-20,900000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,09월30일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 5동,사택 5-106 수장 공사,2332750,4506641548-10,85139116-30,2900000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,09월30일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 5동,사택 5-203 수장 공사,2332750,4506641547-10,85139116-20,2900000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,09월30일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 9동,사택 9-404 수장 공사,2397250,4506641546-10,85139116-10,3200000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,10월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),사택 6동,사택 6-106 타일벽지 및 발코니 도장공사,430000,4506632832-10,85117827-30,550000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,10월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),기타,사택 놀이시설 보수공사,27778000,4506650603-10,85157280-10,38000000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,10월31일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 9동,사택 9-303 수장공사,2397250,4506647363-10,85162255-10,3200000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,10월31일,엘지화학,단독,운영센터,사택 누수보수,원외(사택/기숙사),사택 6동,사택 6-205 화장실 온수배관 누수보수,806250,4506667455-10,85186652-30,800000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,10월31일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 8동,사택 8-301 수장 공사,2397250,4506667453-10,85186652-10,3200000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,10월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),사택 8동,사택 8-301 타일 교체 공사,462250,4506667454-10,85186652-20,800000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,10월31일,엘지화학,단독,운영센터,사택 세대내 보일러 수리(개별),원외(사택/기숙사),기타,사택 9월 세대 보일러 수리,85463,4506667456-10,85186652-50,89000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,10월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),기타,사택 6-406 및 8-301 방충망 보수,193500,4506672710-10,85195853-40,190000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,10월31일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 2동,사택 2-401 수장 공사,1752250,4506673104-10,85195853-30,2300000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,10월31일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 6동,사택 6-406 수장 공사,2397250,4506673103-10,85195853-10,3200000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,10월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),사택 6동,사택 6-406 베란다 타일 교체,1290000,4506673105-10,85195853-20,1400000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,11월30일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),기타,사택 하반기 지하 저수조 청소,1051350,4506670491-10,85186652-40,1200000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,11월30일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),기숙사 AB동,기숙사 B동 실외기옆 안전 휀스 설치,1644750,4506682367-10,85204624-10,1700000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,11월30일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),기타,사택 및 기숙사 CCTV 보수공사,4234425,4506690817-10,85217118-10,6000000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,11월30일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 8동,사택 8-108 수장공사,2397250,4506692300-10,85227174-10,3200000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,11월30일,엘지화학,단독,운영센터,사택 누수보수,원외(사택/기숙사),사택 8동,사택 8-302 누수보수,354750,4506692118-10,85227174-20,360000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,11월30일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),기숙사 3동,기숙사3동 교환기용 축전지 교환,774000,4506696305-10,85236638-10,880000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,11월30일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),기타,사택/기숙사 소방시설 정밀점검,4246250,4506686204-10,85204681-10,7000000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,11월30일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 8동,사택 8-505 수장공사,2397250,4506702825-10,85244350-10,3200000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,11월30일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),사택 8동,사택 8-505 타일 교체 공사,149425,4506701970-10,85244350-20,170000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,11월30일,엘지화학,단독,운영센터,사택 세대내 보일러 수리(개별),원외(사택/기숙사),기타,사택 10월 보일러 수리,312825,4506711052-10,85258237-10,328000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),사택 5동,사택5동 노후 화재수신반 교체보수,6826250,4506688260-10,85204624-20,7000000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 5동,사택 5-304 수장 공사,2332750,4506707436-10,85252042-40,2900000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),사택 9동,사택 9-106 방충망 보수공사,36550,4506707435-10,85252042-30,36000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),사택 9동,사택 9-106 타일 보수공사,752500,4506707179-10,85252042-20,800000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 9동,사택 9-106 수장공사,2397250,4506707434-10,85252042-10,3200000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),사택 6동,사택6동 지하 배수관 보수공사,943850,4506720761-10,85269508-10,970000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 6동,사택 6-204 수장공사,1709250,4506724625-10,85271001-10,2100000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),사택 6동,사택 6-204 방충망 보수,161250,4506724626-10,85271001-20,160000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),기타,사택/기숙사 소방시설 보수공사,1598525,4506732530-10,85278802-10,2000000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 5동,사택 5-402 수장공사,1763000,4506735972-10,85286694-30,2000000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 7동,사택 7-205 수장공사,688000,4506734628-10,85286694-10,711000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),사택 5동,사택 5-402 방충망 보수,80625,4506734630-10,85286694-40,84000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),사택 7동,사택 7-205 비품철거 및 이설작업,1042750,4506734629-10,85286694-20,1000000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,사택 세대내 보일러 수리(개별),원외(사택/기숙사),기타,사택 11월 보일러 수리,134375,4506736008-10,85289119-10,150000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),기숙사 3동,기숙사 3-426 수장공사,247250,4506738948-10,85290416-10,240000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14년,12월31일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 6동,사택 6-201 수장공사,806250,4506741118-10,85294029-10,770000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,01월31일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 5동,사택 5-201 수장공사,361200,4506763063-10,85315981-40,490000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,01월31일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 5동,사택 5-301 수장공사,1718925,4506763687-10,85315981-30,3300000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,01월31일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 5동,사택 5-401 수장공사,1119075,4506763686-10,85315981-20,1900000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,01월31일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 5동,사택 5-501 수장공사,1151325,4506763062-10,85315981-10,1980000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,01월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),기타,사택 화장실 타일 보수 작업,1827500,4506767860-10,85323539-40,3200000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,01월31일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),사택 5동,사택 5동 출구 주차장 차단기 수리,1787725,4506768428-10,85323539-10,1800000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,02월28일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 5동,사택 5-503 수장공사,1182500,4506767858-10,85323539-20,2000000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,02월28일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 8동,사택 8-202 수장공사,1155625,4506767856-10,85323536-10,1900000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,02월28일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 9동,사택 9-304 수장공사,1182500,4506767859-10,85323539-30,1900000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,02월28일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 8동,사택 8-501 수장공사,2150000,4506767857-10,85323536-20,3800000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,02월28일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 7동,사택 7-304 수장공사,1501775,4506782672-10,85343658-10,2100000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,02월28일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 8동,사택 8-409 수장공사,1139500,4506782640-10,85344407-10,1900000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,02월28일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 8동,사택 8-507 수장공사,1491025,4506782674-10,85343658-40,2300000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,02월28일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),기숙사 AB동,기숙사A동 903-4 벽지보수,139750,4506782641-10,85344407-20,240000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,02월28일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 2동,사택 2-405 수장공사,1752250,4506782675-10,85344407-30,2500000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,02월28일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 5동,사택 5-303 수장공사,2332750,4506782676-10,85344407-40,3100000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,02월28일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 8동,사택 8-401 수장공사,2397250,4506782673-10,85343658-20,3490000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,02월28일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),사택 8동,사택 8-401 화장실 타일 보수,709500,4506782677-10,85343658-30,870000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,02월28일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 8동,사택 8-208 수장공사,1741500,4506791762-10,85359919-10,2200000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,02월28일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 8동,사택 8-402 수장공사,2397250,4506791763-10,85359919-20,3400000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,02월28일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 9동,사택 9-102 수장공사,2397250,4506791760-10,85358279-20,3400000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,02월28일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 9동,사택 9-503 수장공사,2397250,4506791761-10,85358279-30,3400000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,02월28일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),기타,사택 화장실 타일 보수공사(8-208외),1397500,4506791764-10,85358279-10,1500000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,02월28일,엘지화학,단독,운영센터,사택 세대내 보일러 수리(개별),원외(사택/기숙사),기타,사택1월 보일러 수리,524600,4506797007-10,85369779-50,574000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,02월28일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),사택 2동,사택2동 후면 우수관로 교체 공사,8460250,4506796313-10,85369781-10,8700000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,03월30일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 2동,사택 2-102 수장공사,1752250,4506795016-10,85369779-10,2500000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,03월30일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 2동,사택 2-202 수장공사,1784500,4506795017-10,85369779-20,2500000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,03월30일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 2동,사택 2-404 수장공사,1784500,4506797418-10,85369779-30,2500000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,03월30일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 5동,사택 5-202 수장공사,2386500,4506797419-10,85369779-40,3100000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,03월30일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 2동,사택 2-101 수장공사,1752250,4506807261-10,85394882-50,2500000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,03월30일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 2동,사택 2-104 수장공사,1752250,4506807260-10,85394882-40,2500000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,03월30일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 2동,사택 2-108 수장공사,1752250,4506807259-10,85394882-30,2500000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,03월30일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 2동,사택 2-204 수장공사,1752250,4506807258-10,85394882-20,2500000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,03월30일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 5동,사택 5-103 수장공사,2332750,4506807257-10,85394882-10,3100000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,03월30일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 9동,사택 9-204 수장공사,1741500,4506807264-10,85396479-30,2200000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,03월30일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 9동,사택 9-305 수장공사,2429500,4506807263-10,85396479-20,3500000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,03월30일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 9동,사택 9-501 수장공사,2397250,4506807262-10,85396479-10,3400000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,03월30일,엘지화학,단독,운영센터,사택 공가 수장공사,원외(사택/기숙사),사택 6동,사택 6-306 수장공사,2397250,4506807265-10,85396479-40,3400000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15년,03월30일,엘지화학,단독,운영센터,기타 보수(기숙사/사택),원외(사택/기숙사),기타,사택 화장실 타일 보수공사(9-305외),1720000,4506808698-10,85396479-50,2200000,안전환경시설팀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
